Name,Style,Brewery,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Amber,0,Alaskan Brewing Co.,-0.48169644704453934,0.2884795400183493,0.51579093278884,-0.3377639465467136,-0.5446197389469557,-0.4648949737300464,0.4124383353073793,0.45889674833861216,-0.00406570464964758,-0.4770412759298846,-0.17123833616945738,0.5288148911941947,-0.4355531878827942,0.893892160409208,-0.27785007425339564,-0.2914872996921726,-0.23137912941980493,-0.11490318263024232,0.22412418064379516,0.7289874593273427
Double Bag,0,Long Trail Brewing Co.,0.264396779468992,0.2884795400183493,0.51579093278884,-0.43383435020417294,0.419002253334445,0.05447691829614743,-0.13046840581630997,-0.09542781882386484,-0.47926351541028317,-0.4770412759298846,-0.44994863408798863,-0.1948958584653406,-0.26715245722080866,0.21725293531526732,0.31711079293014166,0.22749496776511358,0.5422453514880106,0.6319106773365597,0.6455878339214632,0.6847586617874246
Long Trail Ale,0,Long Trail Brewing Co.,-0.5995006407045705,0.2884795400183493,0.51579093278884,-0.2416935428892542,-0.35189534049067556,-0.6380189377387777,0.2185430706203474,-0.44552754545279766,-0.6190275773987054,-0.4770412759298846,-0.8834979864057039,0.4301270616951671,-0.6039539185447798,-0.3340827295760918,-0.45510028600188496,-0.216396726697249,-0.13255433034559416,-0.13952294599737303,0.186208164832856,0.3972714777779578
Doppelsticke,0,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,0.7748816186624606,0.2884795400183493,0.51579093278884,-0.3377639465467136,0.34191249395193296,0.804680762333983,0.4124383353073793,1.2466211332537112,-0.42335789061491425,-0.008068041259576799,0.3242466379079315,-0.030416142633628032,-0.09875172655882312,1.0943778567333386,1.0122802402430278,0.6931244509233121,1.0900719047976584,0.9850787626034079,0.5805995622094169,0.3723927791617539
Sleigh'r Dark Doüble Alt Ale,0,Ninkasi Brewing Company,0.264396779468992,0.2884795400183493,0.51579093278884,0.8150808973427989,0.18773297518690882,0.5161408223194308,0.29610117649516016,-0.3871775910146422,-0.6749332021940743,-0.008068041259576799,-0.8525301755258671,0.3314392321961396,0.06964900410316242,0.4929207677609469,-0.02740613859988537,0.5443490218803803,0.1643757572771984,0.12371431534862765,0.1579990812891352,-0.3794967790168518
Sticke,0,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,-0.20681999517113306,0.2884795400183493,0.51579093278884,0.5268696863704208,-0.04353630296062735,-0.23406302171840468,0.37365928236997287,0.10879702170967932,-0.22768820383112315,-0.008068041259576799,-0.14027052528962058,0.6275027206932222,-0.6039539185447798,0.6934064640850774,0.7337024545413017,0.6285903907325494,0.9488901273087847,0.9594066381021422,1.0864856120281907,0.22588488731077558
Okto Festival Ale,0,Widmer Brothers Brewing Company,-0.48169644704453934,0.2884795400183493,0.51579093278884,1.103292108315177,-0.2362607014169075,-0.8111429017475089,0.14098496474553465,-0.007902887166631628,-0.11587695424038535,-0.4770412759298846,-0.07833490352994697,0.4301270616951671,-0.4355531878827942,0.5430421918419795,-0.6284807269242431,-0.29080303535822527,-0.6523992702055561,-0.6813047178862741,-0.6116715022050135,-0.30209638332199534
Southampton Altbier,0,Southampton Publick House,-0.5995006407045705,0.2884795400183493,0.51579093278884,0.1425880717405833,0.11064321580439676,-0.695726925741688,0.02464780593331552,0.4297217711195344,-0.31154664102417645,-0.4770412759298846,-0.5428520667274991,-0.12910397213265556,-0.6039539185447798,0.5681029038824958,-0.28255064333598373,-0.04571244287499251,-0.15930002251485317,-0.2404967028620865,-0.020980361391182537,0.5852438673226092
Copper,0,The Olde Mecklenburg Brewery,-0.678036769811258,0.2884795400183493,0.51579093278884,0.8150808973427989,-0.4289850998731876,-0.7534349137445985,0.0634268588707219,-0.5622274543291086,-0.5631219526033365,-0.008068041259576799,-0.9454336081653775,0.6275027206932222,-0.09875172655882312,0.5430421918419795,0.4154729338722917,0.7167042990398853,1.0206069047736108,0.5617179937192797,0.9843377088377155,-0.5177117713290955
Organic Münster Alt,0,Brauerei Pinkus Mueller,-0.5602325761512269,0.2884795400183493,0.51579093278884,1.7757849339173926,-0.5831646186382118,-0.695726925741688,-0.05291029994149723,-0.2413027049192535,0.6108961680994102,1.8678248974216543,0.4171500705474419,0.8248783796912773,-0.4355531878827942,0.041827951031653064,-0.20689433799615164,-0.5598627132784261,-0.11617837337992529,-0.22485826366207864,0.04462922602257084,0.032383898073634405
